Chain,PaymentMethod,PurchaseAmount
Other,Cash,158.48
Major D,Check,158.45
Regional C,Cash,158.4
Other,Check,158.39
Major B,StoreCard,158.38
Major A,Cash,158.37
Major A,Cash,158.3
Regional A,StoreCard,158.27
Regional A,Check,158.27
Major A,DebitCard,158.26
Major A,DebitCard,158.14
Other,Check,158.14
Major A,Cash,158.09
Major E,StoreCard,158.05
Major E,Cash,158.04
Other,StoreCard,158.03
Major A,DebitCard,157.92
Other,Check,157.92
Other,DebitCard,157.86
Other,StoreCard,157.72
Regional C,Check,157.72
Major D,Check,157.59
Major A,Check,157.58
Major B,StoreCard,157.55
Major B,Cash,157.53
Major B,Cash,157.49
Other,Cash,157.43
Major E,StoreCard,157.41
Regional D,Cash,157.34
Other,Cash,157.3
Regional D,StoreCard,157.19
Major B,StoreCard,157.18
Regional C,Check,157.16
Major D,StoreCard,157.14
Major A,Cash,157.11
Other,StoreCard,157.11
Major E,Check,157.1
Major B,DebitCard,157
Other,Check,156.97
Major A,Cash,156.96
Major A,Cash,156.94
Other,Cash,156.91
Regional C,Check,156.84
Major D,Cash,156.84
Regional D,Cash,156.84
Major E,Cash,156.82
Major A,Cash,156.81
Major E,StoreCard,156.77
Major A,Cash,156.75
Regional A,Check,156.75
Major B,DebitCard,156.75
Other,DebitCard,156.73
Major B,Check,156.72
Major B,StoreCard,156.68
Other,Cash,156.58
Regional D,StoreCard,156.58
Major B,Cash,156.58
Regional D,Cash,156.57
Other,Cash,156.52
Regional C,Check,156.48
Major B,Cash,156.39
Major B,StoreCard,156.29
Major D,StoreCard,156.28
Major E,StoreCard,156.27
Major E,StoreCard,156.27
Regional B,Cash,156.26
Regional D,Cash,156.2
Major B,Cash,156.2
Regional D,StoreCard,156.19
Major B,Cash,156.1
Other,Cash,156.06
Major B,Cash,156.05
Major A,DebitCard,156.04
Major A,DebitCard,156
Major A,Cash,156
Regional C,StoreCard,155.92
Major A,Cash,155.87
Other,Cash,155.84
Major A,DebitCard,155.7
Major E,Cash,155.65
Major D,StoreCard,155.63
Major E,StoreCard,155.62
Major B,Cash,155.6
Major B,StoreCard,155.59
Other,DebitCard,155.48
Major D,StoreCard,155.44
Major E,DebitCard,155.3
Regional C,DebitCard,155.3
Major A,Cash,155.29
Major A,Cash,155.27
Major D,Check,155.26
Regional C,Cash,155.24
Major B,DebitCard,155.24
Major A,Cash,155.14
Major B,StoreCard,155.13
Major D,StoreCard,155.11
Major D,Check,155.09
Regional D,StoreCard,155.03
Regional C,Cash,155
Major B,StoreCard,154.97
Regional C,StoreCard,154.92
Major E,Check,154.92
Other,Cash,154.92
Regional C,Cash,154.86
Major D,Check,154.81
Major A,Cash,154.74
Regional D,Check,154.6
Major A,Cash,154.49
Major B,StoreCard,154.48
Regional D,StoreCard,154.42
Major B,Check,154.42
Major D,Check,154.39
Other,Cash,154.26
Major B,StoreCard,154.23
Major D,StoreCard,154.22
Major B,StoreCard,154.21
Major B,Check,154.19
Other,Other,154.18
Regional B,Cash,154.15
Major D,Check,153.99
Regional C,DebitCard,153.95
Major D,DebitCard,153.85
Major A,Cash,153.82
Major A,Cash,153.81
Other,Cash,153.75
Major E,StoreCard,153.65
Major B,StoreCard,153.64
Other,Cash,153.62
Major B,Cash,153.61
Major E,StoreCard,153.57
Other,Cash,153.56
Major A,Cash,153.55
Major D,Check,153.46
Regional C,Check,153.38
Major E,Cash,153.38
Regional B,Check,153.37
Other,Cash,153.23
Other,Cash,153.21
Regional A,Cash,153.14
Major E,Cash,153.11
Major A,Cash,153.09
Major E,Cash,153.08
Regional D,Check,153.03
Regional C,Check,152.99
Major B,Check,152.96
Major A,Cash,152.95
Major E,StoreCard,152.95
Major B,Cash,152.92
Regional C,StoreCard,152.91
Major D,Check,152.86
Regional C,DebitCard,152.83
Other,Cash,152.76
Major B,Check,152.68
Major A,Cash,152.65
Other,Cash,152.58
Major B,Cash,152.56
Major B,DebitCard,152.56
Major B,StoreCard,152.55
Major A,Cash,152.52
Major A,DebitCard,152.51
Major B,Cash,152.49
Regional D,StoreCard,152.48
Regional C,DebitCard,152.4
Major D,DebitCard,152.35
Major D,Check,152.33
Major B,StoreCard,152.33
Major A,Cash,152.32
Major B,StoreCard,152.27
Other,Cash,152.24
Major A,Cash,152.15
Major A,Cash,152.12
Other,StoreCard,152.09
Major A,Cash,152.09
Major B,StoreCard,151.87
Major A,DebitCard,151.74
Major B,StoreCard,151.73
Other,Cash,151.73
Major E,Cash,151.71
Major A,DebitCard,151.69
Major E,Check,151.69
Major D,DebitCard,151.69
Regional C,StoreCard,151.65
Major A,Cash,151.65
Major A,Cash,151.64
Major B,Check,151.63
Major B,StoreCard,151.61
Regional C,StoreCard,151.58
Major D,Check,151.55
Major E,StoreCard,151.49
Major A,Cash,151.49
Major A,Cash,151.48
Regional D,StoreCard,151.42
Major A,Cash,151.37
Major D,StoreCard,151.33
Major D,Check,151.33
Other,Cash,151.33
Major B,Cash,151.25
Regional B,Check,151.23
Major B,Cash,151.21
Major D,Cash,151.18
Major D,Check,151.16
Regional C,StoreCard,151.08
Major A,Cash,151.03
Major D,Check,151.02
Major B,Cash,151
Major B,Cash,150.96
Regional C,StoreCard,150.92
Major D,Check,150.92
Other,Cash,150.88
Major A,Cash,150.88
Regional D,Check,150.88
Major E,Check,150.87
Regional C,Other,150.85
Major B,Check,150.83
Major B,Cash,150.82
Major D,Check,150.8
Major B,Check,150.79
Regional C,Cash,150.74
Major D,Check,150.72
Major D,Cash,150.72
Major B,StoreCard,150.7
Major E,StoreCard,150.65
Major A,Cash,150.62
Regional C,Cash,150.62
Major E,StoreCard,150.58
Major A,Cash,150.58
Major A,Cash,150.53
Major E,StoreCard,150.53
Major A,DebitCard,150.44
Major A,Cash,150.43
Major B,StoreCard,150.28
Major A,Cash,150.28
Major D,Check,150.27
Minor A,Cash,150.2
Other,Check,150.06
Major D,Cash,150.06
Other,StoreCard,150.06
Regional C,StoreCard,150.02
Major D,StoreCard,149.98
Regional D,StoreCard,149.98
Other,Cash,149.94
Other,Other,149.89
Regional D,StoreCard,149.89
Major D,Check,149.86
Other,StoreCard,149.85
Major E,StoreCard,149.79
Other,Cash,149.76
Major B,Cash,149.72
Other,Check,149.71
Major D,StoreCard,149.69
Regional D,StoreCard,149.61
Other,Check,149.6
Regional C,Cash,149.56
Major E,StoreCard,149.53
Major B,StoreCard,149.53
Major A,Cash,149.48
Other,StoreCard,149.41
Major D,StoreCard,149.32
Regional D,Cash,149.25
Major B,StoreCard,149.2
Major A,DebitCard,149.13
Major E,StoreCard,149.01
Major B,Check,148.99
Major A,Cash,148.95
Other,Cash,148.91
Regional C,Cash,148.89
Major E,Cash,148.89
Other,Cash,148.88
Major B,StoreCard,148.84
Major A,Cash,148.83
Regional C,Cash,148.67
Major E,StoreCard,148.66
Regional C,Cash,148.61
Regional D,Cash,148.58
Major D,Check,148.54
Major E,StoreCard,148.52
Major D,StoreCard,148.5
Regional C,StoreCard,148.47
Major E,Check,148.45
Regional D,StoreCard,148.44
Major A,DebitCard,148.4
Other,Cash,148.37
Regional C,DebitCard,148.32
Regional B,Check,148.32
Major B,Check,148.27
Major E,StoreCard,148.14
Major A,Cash,148.05
Major A,Cash,148.05
Major B,Check,148.04
Major B,Cash,148.04
Major B,StoreCard,148.03
Other,Cash,147.99
Other,Cash,147.99
Major B,Cash,147.96
Major D,Check,147.96
Other,Cash,147.95
Major A,Cash,147.94
Regional A,Cash,147.9
Regional C,Cash,147.86
Major D,Check,147.84
Other,Cash,147.81
Other,Cash,147.8
Major D,Check,147.72
Regional B,Check,147.67
Major A,Cash,147.64
Major A,DebitCard,147.62
Major B,StoreCard,147.61
Other,StoreCard,147.59
Major A,Cash,147.55
Major A,Cash,147.51
Other,Cash,147.5
Major A,Cash,147.48
Major A,Cash,147.41
Major B,Check,147.4
Major D,StoreCard,147.39
Major B,Check,147.31
Regional D,StoreCard,147.3
Major A,Cash,147.27
Regional C,DebitCard,147.25
Major B,Cash,147.22
Major D,Check,147.15
Major B,Check,147.12
Major A,Cash,147.1
Major B,StoreCard,147.09
Major E,StoreCard,147.09
Major A,DebitCard,147.05
Other,Cash,146.99
Major B,Check,146.95
Major A,Cash,146.8
Other,Cash,146.72
Regional D,Check,146.7
Major B,Check,146.67
Regional B,Cash,146.65
Major A,Check,146.63
Major D,Check,146.62
Major B,Cash,146.58
Major D,StoreCard,146.56
Major D,Check,146.54
Major B,StoreCard,146.53
Major D,Cash,146.47
Major B,Cash,146.46
Regional D,StoreCard,146.4
Major B,Cash,146.34
Other,Cash,146.33
Major A,Cash,146.23
Major A,DebitCard,146.08
Major A,Cash,146.07
Major D,StoreCard,146.06
Major E,Cash,146.03
Regional C,StoreCard,145.99
Major B,StoreCard,145.98
Other,Cash,145.98
Regional C,StoreCard,145.98
Major B,StoreCard,145.97
Regional C,Check,145.96
Regional C,StoreCard,145.95
Major D,StoreCard,145.94
Regional B,Check,145.92
Major B,Cash,145.91
Major E,StoreCard,145.91
Other,Cash,145.87
Major A,Cash,145.87
Major D,StoreCard,145.85
Major D,StoreCard,145.85
Regional C,StoreCard,145.7
Major B,StoreCard,145.7
Major B,StoreCard,145.69
Major E,StoreCard,145.67
Major A,Cash,145.66
Major D,Check,145.65
Major E,StoreCard,145.63
Major B,StoreCard,145.58
Major D,Cash,145.51
Major B,Cash,145.51
Major D,Check,145.49
Major D,Check,145.48
Major B,StoreCard,145.41
Major B,StoreCard,145.41
Major D,Check,145.41
Other,Cash,145.4
Other,StoreCard,145.36
Major B,Cash,145.36
Other,Cash,145.35
Other,Check,145.31
Major A,DebitCard,145.31
Major B,Cash,145.3
Major A,Check,145.3
Major B,DebitCard,145.25
Major A,Cash,145.24
Major B,StoreCard,145.2
Major B,StoreCard,145.18
Major A,Cash,145.15
Major B,Cash,145.14
Other,Cash,145.06
Major A,Cash,145.02
Major A,Cash,145.01
Major B,StoreCard,144.98
Major A,DebitCard,144.96
Major A,Cash,144.96
Major D,Check,144.96
Regional A,Check,144.92
Major A,Cash,144.88
Major E,Check,144.78
Major E,Check,144.71
Major D,StoreCard,144.69
Regional B,Cash,144.64
Major A,Cash,144.64
Major B,StoreCard,144.64
Other,StoreCard,144.63
Minor C,Check,144.59
Regional D,Cash,144.58
Regional D,StoreCard,144.58
Major D,StoreCard,144.55
Major B,StoreCard,144.54
Major E,Check,144.52
Major A,Cash,144.44
Major D,DebitCard,144.4
Major A,Cash,144.4
Major E,StoreCard,144.39
Regional C,StoreCard,144.34
Regional C,Cash,144.31
Major D,Check,144.28
Major E,StoreCard,144.27
Major A,Cash,144.26
Major D,Check,144.25
Major E,StoreCard,144.22
Major E,Check,144.2
Regional C,StoreCard,144.19
Major E,StoreCard,144.19
Major B,StoreCard,144.17
Major A,Cash,144.15
Major A,Cash,144.09
Major B,StoreCard,144.07
Major D,Check,144.04
Regional D,StoreCard,144.01
Major A,Cash,144
Major E,Cash,143.98
Major B,Check,143.98
Regional A,StoreCard,143.97
Major E,Check,143.95
Major A,DebitCard,143.93
Major B,StoreCard,143.93
Major A,Cash,143.8
Major A,Cash,143.76
Major B,DebitCard,143.76
Major E,StoreCard,143.75
Major A,Cash,143.74
Major A,Cash,143.69
Regional D,StoreCard,143.62
Regional A,Check,143.58
Major D,Cash,143.57
Major D,Check,143.52
Major B,StoreCard,143.49
Major A,Cash,143.49
Major B,StoreCard,143.48
Regional C,DebitCard,143.35
Major D,Cash,143.34
Major D,Check,143.33
Major B,Check,143.33
Other,Check,143.29
Major B,Cash,143.28
Regional B,StoreCard,143.26
Other,Cash,143.23
Major D,Cash,143.19
Major B,StoreCard,143.03
Major D,Cash,143.01
Major A,Cash,142.89
Regional D,Check,142.88
Other,StoreCard,142.85
Other,DebitCard,142.84
Major B,StoreCard,142.84
Major A,DebitCard,142.83
Other,StoreCard,142.8
Major D,Check,142.77
Major E,StoreCard,142.73
Major A,Cash,142.62
Regional C,Cash,142.6
Major B,Cash,142.51
Major E,StoreCard,142.5
Regional C,StoreCard,142.5
Major B,Cash,142.49
Major A,Cash,142.42
Major B,Cash,142.33
Major E,Check,142.33
Major E,Check,142.31
Major A,Cash,142.23
Major E,Check,142.22
Regional C,Check,142.2
Major B,StoreCard,142.19
Major E,Cash,142.19
Major E,StoreCard,142.18
Major B,Check,142.15
Major E,Check,142.14
Major E,StoreCard,142.12
Regional C,StoreCard,142.12
Major E,Cash,142.12
Major D,StoreCard,142.1
Major D,StoreCard,142.09
Major E,Check,142.07
Major A,Cash,142.05
Other,Cash,142.01
Regional A,Check,141.98
Major A,Cash,141.93
Regional A,Check,141.86
Other,Cash,141.81
Major E,Check,141.79
Other,Cash,141.78
Major B,StoreCard,141.77
Regional B,Cash,141.75
Major D,Check,141.75
Major A,Check,141.74
Regional C,Cash,141.73
Regional B,Cash,141.73
Major A,Cash,141.71
Major E,Check,141.71
Major E,Check,141.68
Major E,StoreCard,141.66
Major B,StoreCard,141.63
Regional C,Check,141.56
Major B,Cash,141.56
Major E,Check,141.55
Major A,Cash,141.55
Regional B,Check,141.5
Major E,StoreCard,141.47
Regional C,Cash,141.46
Major E,Cash,141.44
Major B,Check,141.4
Major A,DebitCard,141.37
Major E,Cash,141.34
Major A,Cash,141.28
Regional A,Check,141.23
Major A,DebitCard,141.21
Major B,StoreCard,141.2
Major D,StoreCard,141.18
Major E,Check,141.17
Other,Check,141.16
Major B,DebitCard,141.12
Other,DebitCard,141.1
Regional B,StoreCard,141.09
Other,Cash,141.08
Regional C,StoreCard,141.04
Major A,Cash,141.02
Major D,Check,141.01
Major A,DebitCard,140.98
Major A,Cash,140.9
Regional D,Cash,140.9
Major A,Cash,140.89
Major A,Cash,140.86
Major A,Cash,140.84
Major D,Check,140.83
Major A,Cash,140.78
Major E,StoreCard,140.67
Other,Check,140.59
Regional D,StoreCard,140.59
Major E,StoreCard,140.5
Major B,Check,140.5
Major A,Cash,140.35
Other,Cash,140.33
Regional A,Check,140.3
Major A,DebitCard,140.16
Major D,StoreCard,140.16
Regional B,Cash,140.14
Major D,Check,140.14
Major B,StoreCard,140.14
Regional D,Check,140.06
Major B,Check,139.93
Major A,DebitCard,139.87
Major A,Cash,139.84
Major A,Cash,139.79
Other,Cash,139.74
Major A,Cash,139.71
Major B,Check,139.71
Major E,Check,139.71
Major A,Cash,139.61
Major D,StoreCard,139.55
Major A,Cash,139.49
Regional D,StoreCard,139.49
Major B,StoreCard,139.47
Major E,StoreCard,139.46
Regional B,Check,139.45
Major A,Cash,139.42
Major A,Cash,139.42
Major E,StoreCard,139.41
Major B,StoreCard,139.39
Regional C,Check,139.39
Regional C,StoreCard,139.33
Major B,Cash,139.32
Major A,Cash,139.29
Major A,Cash,139.28
Other,Cash,139.25
Other,Cash,139.24
Other,StoreCard,139.12
Major A,Cash,139.06
Major E,Cash,139.06
Other,Cash,139.06
Regional D,Cash,139.02
Major A,Cash,139.01
Major B,Cash,138.94
Regional C,StoreCard,138.93
Major A,Cash,138.9
Regional D,Cash,138.86
Major B,Check,138.82
Major A,Cash,138.79
Major A,Cash,138.79
Other,StoreCard,138.56
Other,Cash,138.51
Regional C,DebitCard,138.45
Other,Cash,138.42
Other,Check,138.31
Other,Cash,138.28
Regional B,Cash,138.27
Major B,StoreCard,138.25
Major E,Check,138.2
Major B,StoreCard,138.18
Major D,Cash,138.09
Other,StoreCard,138.08
Regional B,Cash,138.02
Major B,Check,137.89
Major A,Cash,137.89
Major E,StoreCard,137.83
Other,Cash,137.83
Major A,DebitCard,137.81
Major B,Check,137.6
Major E,Check,137.6
Other,Check,137.59
Major B,StoreCard,137.57
Regional D,StoreCard,137.54
Regional C,StoreCard,137.49
Major E,Check,137.32
Other,Cash,137.31
Major A,Cash,137.22
Major D,Check,137.22
Regional B,Cash,137.19
Major E,StoreCard,137.14
Major E,Check,137.12
Regional C,Cash,137.09
Major B,Cash,136.94
Major A,Cash,136.93
Major B,Cash,136.92
Other,Check,136.9
Regional D,Check,136.83
Major D,Check,136.77
Major D,Check,136.75
Major D,Check,136.74
Major D,StoreCard,136.73
Major E,DebitCard,136.71
Major D,DebitCard,136.71
Major A,Cash,136.69
Regional C,StoreCard,136.4
Major A,Check,136.39
Major E,StoreCard,136.35
Major D,Check,136.32
Other,Cash,136.32
Major B,StoreCard,136.29
Major A,DebitCard,136.26
Other,Check,136.05
Major A,DebitCard,136.04
Regional C,DebitCard,136.02
Major E,StoreCard,136
Other,Check,135.98
Major E,StoreCard,135.96
Major D,Cash,135.96
Major A,DebitCard,135.94
Regional B,DebitCard,135.92
Major B,StoreCard,135.91
Other,StoreCard,135.83
Major B,Check,135.82
Other,Check,135.78
Major B,StoreCard,135.65
Other,Check,135.63
Major E,StoreCard,135.62
Major A,Cash,135.6
Major B,StoreCard,135.6
Major A,Cash,135.57
Major B,StoreCard,135.5
Major D,Cash,135.5
Regional C,StoreCard,135.47
Major E,Check,135.46
Major B,Check,135.44
Major E,StoreCard,135.44
Major A,DebitCard,135.33
Other,Cash,135.28
Other,StoreCard,135.27
Regional C,Check,135.26
Other,Cash,135.24
Major B,Cash,135.18
Major A,Cash,135.16
Major A,Cash,135.1
Regional C,DebitCard,135.01
Major B,StoreCard,134.98
Regional C,StoreCard,134.94
Other,StoreCard,134.92
Minor B,DebitCard,134.86
Major A,DebitCard,134.86
Major A,Cash,134.83
Major E,StoreCard,134.82
Major A,DebitCard,134.79
Major B,Check,134.78
Major A,Check,134.77
Major A,Cash,134.75
Major D,Cash,134.74
Major A,Cash,134.74
Major D,Check,134.73
Major E,StoreCard,134.64
Regional C,StoreCard,134.61
Other,Cash,134.43
Major A,Cash,134.41
Major D,StoreCard,134.37
Other,Check,134.32
Major D,StoreCard,134.29
Major B,StoreCard,134.28
Major E,StoreCard,134.25
Major E,Check,134.24
Regional A,Check,134.18
Major B,Check,134.18
Major A,Cash,134.17
Major B,DebitCard,134.16
Regional C,DebitCard,134.15
Other,DebitCard,134.12
Major D,StoreCard,134.04
Regional B,DebitCard,134.04
Regional D,StoreCard,133.96
Other,Check,133.95
Regional C,Check,133.95
Major B,Check,133.94
Other,Check,133.9
Major D,Check,133.84
Regional D,Cash,133.83
Major A,Cash,133.69
Major B,DebitCard,133.67
Major A,DebitCard,133.66
Major B,StoreCard,133.59
Major A,DebitCard,133.53
Major A,Cash,133.5
Major E,Check,133.49
Major A,Cash,133.46
Major A,DebitCard,133.45
Major A,DebitCard,133.29
Major E,StoreCard,133.2
Major D,StoreCard,133.17
Major A,Check,133.16
Major B,Check,133.05
Other,Cash,133.03
Major A,Cash,132.95
Major B,StoreCard,132.95
Major A,Other,132.87
Regional D,StoreCard,132.82
Major A,Cash,132.81
Major B,StoreCard,132.81
Major E,StoreCard,132.78
Other,Cash,132.75
Major B,Check,132.73
Other,Cash,132.73
Major E,Cash,132.7
Major A,Cash,132.68
Other,DebitCard,132.64
Other,Check,132.61
Major B,StoreCard,132.61
Major E,Check,132.56
Major A,Cash,132.54
Major D,StoreCard,132.46
Major D,Check,132.4
Regional D,StoreCard,132.4
Major E,Check,132.37
Major E,Cash,132.33
Regional A,Cash,132.31
Major A,Check,132.29
Major E,StoreCard,132.28
Major B,StoreCard,132.23
Other,Cash,132.19
Major A,Cash,132.18
Major A,Check,132.18
Regional C,Check,132.04
Regional C,StoreCard,132.01
Other,Cash,132
Regional A,Check,131.93
Major B,Check,131.84
Major A,Cash,131.78
Major E,StoreCard,131.72
Major D,Cash,131.72
Major E,StoreCard,131.71
Major B,StoreCard,131.63
Major A,Cash,131.6
Major A,Cash,131.54
Major D,Check,131.53
Major B,Cash,131.5
Major A,Cash,131.48
Other,Cash,131.38
Major A,Check,131.37
Minor B,Check,131.34
Major D,Check,131.34
Major B,StoreCard,131.28
Major A,DebitCard,131.22
Other,Check,131.16
Major A,DebitCard,131.11
Major A,Cash,131.1
Regional C,StoreCard,131.04
Other,Cash,131.03
Major E,Check,130.96
Major D,DebitCard,130.9
Major B,StoreCard,130.89
Regional D,Check,130.89
Major D,StoreCard,130.83
Other,Check,130.78
Regional C,StoreCard,130.7
Other,Cash,130.64
Major B,StoreCard,130.61
Other,Check,130.59
Major B,Cash,130.54
Major B,StoreCard,130.5
Major D,Check,130.43
Other,Check,130.4
Major A,Cash,130.39
Regional C,DebitCard,130.33
Major B,StoreCard,130.27
Major B,StoreCard,130.2
Regional A,Cash,130.19
Major D,Check,130.19
Other,Check,130.19
Other,Check,130.12
Major D,Check,130.09
Major B,Cash,129.98
Major D,Check,129.96
Major D,Check,129.93
Other,Cash,129.88
Major E,Check,129.84
Major E,Check,129.82
Major A,Cash,129.77
Other,Cash,129.77
Major B,Check,129.76
Regional A,StoreCard,129.75
Major A,Check,129.71
Major A,Cash,129.71
Major A,Check,129.69
Regional C,StoreCard,129.68
Major B,Check,129.64
Minor B,Cash,129.63
Regional C,StoreCard,129.59
Major D,DebitCard,129.59
Regional D,DebitCard,129.58
Major A,Cash,129.58
Major B,StoreCard,129.51
Major B,Check,129.47
Major D,Check,129.45
Major E,StoreCard,129.39
Major A,Cash,129.3
Regional C,StoreCard,129.3
Major B,Cash,129.28
Major B,Cash,129.28
Regional B,DebitCard,129.24
Major B,StoreCard,129.19
Major B,StoreCard,129.09
Regional B,StoreCard,129.04
Major B,StoreCard,129.02
Regional C,StoreCard,128.99
Other,Check,128.94
Major D,StoreCard,128.93
Other,Cash,128.87
Major A,Cash,128.87
Major B,StoreCard,128.87
Regional D,StoreCard,128.72
Major B,Cash,128.71
Other,Check,128.67
Major D,StoreCard,128.62
Major A,Cash,128.58
Major E,Cash,128.51
Regional C,StoreCard,128.47
Other,StoreCard,128.42
Regional A,StoreCard,128.4
Major A,Cash,128.39
Major A,Cash,128.37
Major D,DebitCard,128.34
Major A,Cash,128.28
Other,Cash,128.27
Major B,StoreCard,128.23
Regional D,StoreCard,128.22
Major D,DebitCard,128.18
Major B,Cash,128.16
Major E,Check,128.16
Major A,DebitCard,128.16
Regional C,Check,128.14
Major A,Cash,128.12
Major D,Cash,128.11
Regional C,StoreCard,128.1
Major A,Cash,128.08
Major E,Cash,127.99
Major D,StoreCard,127.96
Major E,Check,127.94
Major A,Cash,127.93
Major A,Cash,127.88
Regional C,StoreCard,127.85
Regional A,Other,127.82
Major E,StoreCard,127.81
Other,DebitCard,127.8
Regional D,DebitCard,127.79
Major E,Check,127.78
Major B,Cash,127.78
Major B,Cash,127.76
Major B,Check,127.7
Major E,DebitCard,127.65
Major B,Check,127.61
Major A,Check,127.57
Major B,Cash,127.55
Major A,Cash,127.47
Regional B,DebitCard,127.47
Major D,Check,127.42
Major A,Cash,127.42
Major A,DebitCard,127.38
Major B,StoreCard,127.37
Major E,Check,127.37
Major B,Cash,127.32
Major A,Cash,127.3
Major B,Check,127.29
Major B,StoreCard,127.26
Other,StoreCard,127.25
Other,StoreCard,127.23
Major D,Cash,127.2
Major D,Check,127.12
Major D,Check,127.11
Regional B,Check,127.1
Other,Check,127.09
Major D,DebitCard,127.06
Other,Check,127.03
Major B,StoreCard,127
Major A,Cash,126.97
Major E,Cash,126.97
Major D,DebitCard,126.94
Major B,StoreCard,126.89
Major E,Check,126.82
Major D,Check,126.82
Major E,Check,126.8
Major D,Check,126.76
Other,Cash,126.68
Major B,Check,126.67
Major A,Cash,126.65
Major B,Cash,126.65
Major A,DebitCard,126.62
Regional A,StoreCard,126.6
Major A,Cash,126.58
Major A,Cash,126.54
Major A,DebitCard,126.54
Regional A,Cash,126.53
Major A,Cash,126.53
Regional B,StoreCard,126.52
Regional C,DebitCard,126.49
Regional C,Check,126.46
Major B,StoreCard,126.42
Regional B,DebitCard,126.39
Other,Check,126.35
Major D,Check,126.34
Major A,Cash,126.32
Regional D,Check,126.31
Other,Check,126.24
Regional B,Check,126.2
Major E,Cash,126.2
Regional A,DebitCard,126.16
Major B,StoreCard,126.12
Major B,Cash,126.1
Major E,Check,126.02
Other,Cash,126.02
Regional D,StoreCard,126.01
Major B,StoreCard,125.92
Major B,StoreCard,125.92
Other,Cash,125.92
Major A,Cash,125.92
Major A,Check,125.87
Major A,Cash,125.84
Major B,Check,125.83
Major A,DebitCard,125.82
Regional B,Check,125.79
Major E,StoreCard,125.78
Major B,StoreCard,125.75
Major B,StoreCard,125.7
Regional D,Check,125.68
Major D,DebitCard,125.67
Major B,StoreCard,125.67
Major D,Check,125.62
Major A,Cash,125.54
Major E,StoreCard,125.53
Major A,Cash,125.52
Major E,Check,125.49
Major A,Cash,125.47
Major A,DebitCard,125.47
Major B,StoreCard,125.46
Major E,Check,125.44
Major B,StoreCard,125.36
Other,Cash,125.32
Regional D,StoreCard,125.32
Major A,DebitCard,125.31
Major A,Cash,125.3
Major B,Check,125.28
Other,Cash,125.22
Other,Cash,125.21
Major D,Check,125.19
Major B,Cash,125.17
Regional D,Cash,125.12
Major A,Cash,125.08
Major B,Check,125.01
Major E,StoreCard,125
Major D,Check,124.98
Regional B,Cash,124.97
Major E,StoreCard,124.95
Major A,Cash,124.85
Major A,DebitCard,124.83
Major D,StoreCard,124.81
Regional C,StoreCard,124.77
Regional B,Cash,124.77
Major A,Cash,124.75
Major D,StoreCard,124.71
Major A,Cash,124.7
Major A,Cash,124.69
Major A,Cash,124.68
Major D,Check,124.67
Major A,Cash,124.63
Major D,DebitCard,124.61
Regional C,DebitCard,124.6
Major A,Cash,124.52
Major B,StoreCard,124.49
Major A,Cash,124.47
Regional D,Check,124.44
Other,Cash,124.43
Regional C,Check,124.42
Major D,StoreCard,124.41
Major D,StoreCard,124.38
Other,Cash,124.36
Other,Check,124.35
Regional D,Check,124.29
Other,Cash,124.27
Regional C,Check,124.25
Major A,Cash,124.23
Major D,Check,124.22
Major B,StoreCard,124.18
Major A,Cash,124.17
Other,StoreCard,124.1
Major B,Check,124.09
Major E,StoreCard,124.07
Major B,Check,123.95
Major A,Cash,123.94
Major D,Check,123.83
Regional C,Check,123.77
Major A,Cash,123.75
Other,Check,123.75
Other,Cash,123.71
Other,Cash,123.7
Major E,Check,123.67
Regional D,StoreCard,123.63
Major B,Cash,123.55
Major A,DebitCard,123.55
Regional B,Cash,123.53
Major B,StoreCard,123.46
Major A,Check,123.43
Other,Check,123.35
Major D,Check,123.32
Major A,Cash,123.28
Major D,Check,123.27
Major A,DebitCard,123.21
Regional C,Cash,123.21
Regional B,Check,123.16
Regional C,StoreCard,123.04
Major D,Check,123.02
Major E,Check,122.99
Other,Cash,122.99
Major E,Cash,122.98
Major D,Cash,122.85
Regional D,StoreCard,122.8
Other,Cash,122.78
Major D,Check,122.75
Major B,Check,122.74
Major B,StoreCard,122.73
Major A,Cash,122.72
Major A,Cash,122.7
Major A,Cash,122.7
Major A,Cash,122.68
Regional C,Cash,122.65
Regional C,Check,122.59
Other,Check,122.58
Major A,Cash,122.56
Major A,Cash,122.56
Major B,Check,122.55
Major E,Cash,122.54
Major B,Check,122.52
Major A,Cash,122.36
Major D,DebitCard,122.35
Major E,StoreCard,122.29
Major E,StoreCard,122.26
Regional C,Check,122.16
Major A,Cash,122.15
Other,Cash,122.13
Major B,StoreCard,122.12
Major A,Cash,122.11
Major D,Cash,122.02
Major E,StoreCard,122.02
Major E,Check,121.99
Major B,Check,121.99
Other,StoreCard,121.88
Major B,StoreCard,121.85
Major B,StoreCard,121.85
Other,Check,121.8
Major A,Cash,121.8
Other,Cash,121.78
Regional A,Check,121.77
Other,Check,121.76
Regional B,StoreCard,121.75
Other,Check,121.7
Regional D,StoreCard,121.64
Major E,Cash,121.64
Major D,Cash,121.61
Regional C,Cash,121.6
Other,Check,121.6
Other,Cash,121.59
Other,Cash,121.47
Major D,Cash,121.47
Other,Cash,121.4
Regional B,StoreCard,121.37
Major E,StoreCard,121.35
Other,Check,121.3
Regional D,StoreCard,121.26
Major B,StoreCard,121.24
